№;Место хранения;Памятник;Постройка;Вид;Тип;"Индивид. номер 
(музейный, если есть)";"Номер квадрата/участка
 по археологическим отчётам";"Год 
находки";"Количество 
фрагментов";цвет;Название;Примечание
1;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;южная апсида;2013-2015;9;личное;лик молодого царя на зелёном фоне (волхва);1) ?лоб и щеки (личная охра желтый), брови, волосы (пурпур?), желтый в в короне  2) ОЕ: Фото 2 - не для каталога, а для статьи
2;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;440;2013-2015;5;;лик средовека с волнистой бородой (Спаситель);Щека чистая, волосы (что дает зелёный?) 2) ОЕ: Фото 2 - не для каталога, а для статьи
3;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;;2013-2015;3;;;Белила?
4;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;;2013-2015;12;;лик старца с высоким лбом и зелёной карнацией (апостол, святой) ;Волосы, сине зелёный у волос, сине-зелёный у носа, лоб, нимб внимательно, свет, зрачок, ухо посмотреть
5;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;;;2013-2015;13;;лик старец с длинной бородой в святительских (?) одеждах;личные охры, зелёный одежда, борода (есть ли бирюзовый?) что за пигмент? Желтый и др (одежда)
6;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№21;;1993;1;;фрагмент лика с нависающей переносицей и левым глазом;
7;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Индивидуальная фреска;Индивидуальный;№21;;1993;1;;фрагмент лика с левым ухом и седыми волосами;
8;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№67;траншея;1993;190;;;
9;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№66;траншея;1993;60;;;
10;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№68;траншея;1993;290;;;
11;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№71;траншея;1993;80;;;
12;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№69;траншея;1993;40;;;
13;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№73;траншея;1993;100;;;
14;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№72;траншея;1993;180;;;
15;Мастерская в Антоново;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор ;Лоток;Массовый;№75;траншея;1993;540;;;
